min_cells,celltype,metric,control_n,IgAN_n,control_median,IgAN_median,delta_IgAN_minus_control,mann_whitney_exact_p,cliffs_delta_IgAN_vs_control,FDR_within_threshold_celltype
25,Podocyte,Complement,1,0,0.0,,,,,
25,Podocyte,Endothelial_activation,1,0,0.00594523549079895,,,,,
25,Podocyte,Tubular_injury,1,0,0.21217820048332214,,,,,
25,Proximal_tubular,RIPS_UCell,5,10,0.04226011037826538,0.05069342255592346,0.008433312177658081,0.9530469530469531,-0.04,1.0
25,Proximal_tubular,Fibrosis,5,10,0.0,0.0,0.0,0.7678987678987679,0.12,1.0
25,Proximal_tubular,Inflammatory_chemotaxis,5,10,0.0,0.0,0.0,0.8591408591408591,-0.08,1.0
25,Proximal_tubular,Complement,5,10,0.0,0.0,0.0,1.0,0.0,1.0
25,Proximal_tubular,Endothelial_activation,5,10,0.0,0.0,0.0,1.0,0.0,1.0
25,Proximal_tubular,Tubular_injury,5,10,0.17452356219291687,0.16140085458755493,-0.013122707605361938,0.43956043956043955,-0.28,1.0
50,Cycling_stress,RIPS_UCell,0,1,,0.11333166062831879,,,,
50,Cycling_stress,Fibrosis,0,1,,0.003719508647918701,,,,
50,Cycling_stress,Inflammatory_chemotaxis,0,1,,0.18334168195724487,,,,
50,Cycling_stress,Complement,0,1,,0.0,,,,
50,Cycling_stress,Endothelial_activation,0,1,,0.0,,,,
50,Cycling_stress,Tubular_injury,0,1,,0.32363757491111755,,,,
50,Distal_collecting,RIPS_UCell,0,1,,0.09117351472377777,,,,
50,Distal_collecting,Fibrosis,0,1,,0.0,,,,
50,Distal_collecting,Inflammatory_chemotaxis,0,1,,0.05867600440979004,,,,
50,Distal_collecting,Complement,0,1,,0.0,,,,
50,Distal_collecting,Endothelial_activation,0,1,,0.0,,,,
50,Distal_collecting,Tubular_injury,0,1,,0.3158642649650574,,,,
50,Macrophage_monocyte,RIPS_UCell,1,0,0.19205665588378906,,,,,
50,Macrophage_monocyte,Fibrosis,1,0,0.0,,,,,
50,Macrophage_monocyte,Inflammatory_chemotaxis,1,0,0.16645768284797668,,,,,
