strategy,gene,median_IgAN,median_IgAVN,median_difference_IgAN_minus_IgAVN,raw_p,cliffs_delta_IgAN_vs_IgAVN,FDR_within_strategy,predefined_focus_gene
raw_log2,MAP4K1,5.977279923499917,5.584962500721156,0.3923174227787607,1.0,0.02857142857142857,1.0,False
raw_log2,PSMD7,6.845490050944375,9.92481250360578,-3.0793224526614056,0.01767676767676768,-0.8285714285714286,0.14329966329966332,False
raw_log2,TGFBI,7.303780748177103,9.348728154231077,-2.044947406053974,0.20202020202020204,-0.4857142857142857,0.3190345008526827,False
raw_log2,MS4A1,5.247927513443585,3.169925001442312,2.078002512001273,0.4318181818181819,0.3142857142857143,0.546969696969697,False
raw_log2,CEACAM6,2.321928094887362,3.321928094887362,-1.0,0.04797979797979798,-0.7142857142857143,0.1676535469638918,False
raw_log2,IL16,6.409390936137702,6.614709844115208,-0.20531890797750663,0.638888888888889,-0.2,0.7329140461215933,False
raw_log2,TRAF6,6.339850002884624,8.519636252843213,-2.179786249958589,0.030303030303030304,-0.7714285714285715,0.14622414622414623,False
raw_log2,MIF,8.59245703726808,11.592924155627637,-3.0004671183595573,0.01767676767676768,-0.8285714285714286,0.14329966329966332,False
raw_log2,SOCS1,4.643856189774724,6.285402218862249,-1.6415460290875243,0.030303030303030304,-0.7714285714285715,0.14622414622414623,False
raw_log2,KIR3DL1,1.0,2.0,-1.0,0.10606060606060606,-0.6285714285714286,0.23030303030303031,False
raw_log2,IL23A,3.169925001442312,3.321928094887362,-0.15200309344505003,0.4318181818181819,-0.34285714285714286,0.546969696969697,False
raw_log2,CCR7,4.169925001442312,2.807354922057604,1.362570079384708,0.5303030303030304,0.2571428571428571,0.6384638463846386,False
raw_log2,TLR1,4.807354922057604,6.820178962415188,-2.012824040357584,0.10606060606060606,-0.6,0.23030303030303031,False
raw_log2,IL18R1,4.807354922057604,6.554588851677638,-1.7472339296200339,0.07323232323232323,-0.6571428571428571,0.20424427763877306,False
raw_log2,RAF1,5.857980995127572,9.038918989292302,-3.18093799416473,0.01767676767676768,-0.8285714285714286,0.14329966329966332,False
raw_log2,IL15,4.247927513443585,6.339850002884624,-2.091922489441039,0.148989898989899,-0.5428571428571428,0.27121514546664255,False
raw_log2,IKZF2,3.9068905956085187,5.906890595608519,-2.0,0.030303030303030304,-0.7714285714285715,0.14622414622414623,False
raw_log2,CD4,5.78135971352466,6.768184324776926,-0.9868246112522661,0.26767676767676774,-0.42857142857142855,0.37586021881633896,False
raw_log2,IRAK3,3.700439718141092,5.700439718141092,-1.9999999999999996,0.01767676767676768,-0.8285714285714286,0.14329966329966332,False
raw_log2,NFIL3,4.321928094887363,6.149747119504682,-1.8278190246173196,0.010101010101010102,-0.8857142857142857,0.14329966329966332,False
raw_log2,CIITA,5.321928094887363,6.475733430966398,-1.153805336079035,0.3434343434343435,-0.4,0.45791245791245794,False
raw_log2,CCRL1,4.807354922057604,5.857980995127572,-1.0506260730699681,0.030303030303030304,-0.8,0.14622414622414623,False
raw_log2,PPARG,4.321928094887363,7.169925001442312,-2.8479969065549495,0.01767676767676768,-0.8285714285714286,0.14329966329966332,False
raw_log2,TLR2,5.087462841250339,6.700439718141092,-1.6129768768907526,0.07323232323232323,-0.6571428571428571,0.20424427763877306,False
raw_log2,CD2,4.643856189774724,4.169925001442312,0.4739311883324122,0.5303030303030304,0.2857142857142857,0.6384638463846386,False
raw_log2,IKBKAP,5.954196310386875,8.038918989292302,-2.084722678905427,0.07323232323232323,-0.6571428571428571,0.20424427763877306,False
raw_log2,SLAMF6,2.584962500721156,2.807354922057604,-0.2223924213364481,0.3434343434343435,-0.37142857142857144,0.45791245791245794,False
raw_log2,TNFRSF8,3.169925001442312,4.087462841250339,-0.917537839808027,0.26767676767676774,-0.42857142857142855,0.37586021881633896,False
raw_log2,STAT1,7.864186144654281,9.157346935362844,-1.293160790708563,0.148989898989899,-0.5428571428571428,0.27121514546664255,False
raw_log2,CRADD,4.807354922057604,8.20945336562895,-3.4020984435713455,0.030303030303030304,-0.7714285714285715,0.14622414622414623,False
raw_log2,HLA-C,9.12670447284319,11.233619676759702,-2.106915203916511,0.10606060606060606,-0.6,0.23030303030303031,False
raw_log2,GNLY,2.807354922057604,4.857980995127572,-2.0506260730699677,0.148989898989899,-0.5714285714285714,0.27121514546664255,False
raw_log2,CCL5,5.727920454563199,5.584962500721156,0.14295795384204268,1.0,0.0,1.0,True
raw_log2,ITGAE,4.392317422778761,6.6293566200796095,-2.2370391973008488,0.01767676767676768,-0.8285714285714286,0.14329966329966332,False
raw_log2,FCGRT,9.121533517340032,11.669328004395904,-2.5477944870558726,0.10606060606060606,-0.6,0.23030303030303031,False
raw_log2,IL10,2.0,2.321928094887362,-0.3219280948873622,0.8762626262626263,-0.11428571428571428,0.9169839531285314,False
raw_log2,CD59,9.45532722030456,12.308339030139408,-2.8530118098348467,0.04797979797979798,-0.7142857142857143,0.1676535469638918,False
raw_log2,CCBP2,3.0,5.832890014164741,-2.8328900141647413,0.07323232323232323,-0.6857142857142857,0.20424427763877306,False
raw_log2,STAT2,8.103287808412022,10.381542951184585,-2.2782551427725632,0.10606060606060606,-0.6,0.23030303030303031,True
